caption,aspect_list,tempo_tags,genre_tags,mood_tags,instrument_tags,tempo_tags_count,genre_tags_count,mood_tags_count,instrument_tags_count,aspect_list_count
"This is a rock music piece. There is a medium-to-high pitched electric guitar solo at the forefront. In the melodic background, a keyboard and a bass guitar repeating the same pattern can be heard. The acoustic drums are playing a loud and slightly fast-paced rock drum beat. There is a rebellious atmosphere to this piece. It can be used in the soundtrack of a teenage drama or a crime shootout video game.","rock music, psychedelic, electric guitar, keyboard, bass guitar, guitar solo, acoustic drums",,rock music,psychedelic,"electric guitar, keyboard, bass guitar, guitar solo, acoustic drums",1,1,1,5,7
"The Hip Hop song features a flat male vocal rapping over arpeggiated piano melody, sustained high pitched violin melody, punchy snare and kick hits, simple hi hats, boomy bass and soft crash cymbal. It sounds heartfelt, emotional and sad.","hip hop, emotional, sad, flat male vocal, punchy kick, punchy snare",,hip hop,"emotional, sad","flat male vocal, punchy kick, punchy snare",1,1,2,3,6
This slow pop song features a female voice singing the main melody. The voice is tremulous and sings in a foreign language. This is accompanied by a string section playing chords and fills in harmony. The bass plays the root notes of the chords. There is no percussion in this song. The mood of this song is romantic and dreamy. This song can be played when there is a romantic flashback scene in a movie.,"slow tempo, pop song, no percussion, female voice, bass",slow tempo,pop song,,"no percussion, female voice, bass",1,1,1,3,5
This is an orchestral movie music piece. There is a brass section and a cinematic sounding strings section playing a dramatic tune. A percussive syncopation provides the rhythmic background. There is a faint high-pitched choir sound that is most likely coming from a synth. The atmosphere is full of suspense. This piece could be used in the soundtrack of a video game or a movie at a scene that implies an imminent threat or danger.,"movie music, percussion, orchestra",,movie music,,"percussion, orchestra",1,1,1,2,3
"This is an instrumental jazz improvisation piece with heavy bossa nova influences. There is an over-arching bossa nova syncopation not only being played by the acoustic drums in the backing track but also followed by the electric rhythm guitar and the bass guitar. The lead is a guitar solo being played by a gentle sounding electric guitar. Although there are complex chords and riffs, the general atmosphere is tranquil. This piece could be playing in the background of a restaurant. It could also be included in the soundtrack of a movie during serene scenery.","jazz, soft, sensual, electric guitar, no singer, bass guitar, guitar solo, acoustic drums",,jazz,"soft, sensual","electric guitar, no singer, bass guitar, guitar solo, acoustic drums",1,1,2,5,8
"The low quality recording features a rock song and it consists of harmonizing male vocals singing over groovy bass, punchy drums and electric guitar melody. It sounds completely crushed, muffled and messy, since the frequencies of the instruments are clashing with each other. Regardless, it still sounds energetic.","rock, energetic, groovy bass",,rock,energetic,groovy bass,1,1,1,1,3
"The low quality recording features a blues song that consists of filtered monotone male vocal singing over groovy bass, groovy organ keys, chords, soft kick hits, punchy snare and shimmering cymbals. The song is poorly mixed, as the vocals are not so much in the face as they should be, probably because the bass is eating the other elements - making it sound boomy.","blues, groovy bass, shimmering cymbals, punchy snare",,blues,,"groovy bass, shimmering cymbals, punchy snare",1,1,1,3,4
"A female singer sings this animated melody. The song is medium tempo with church bells playing percussively, shakers percussion, walking bass line, steady drumming rhythm and keyboard harmony, the song is romantic and eclectic in nature. The song is an animated movie soundtrack.","dance rhythm, medium tempo, groovy rhythm, folk music, melancholic, emotional, romantic, keyboard harmony, female singer, steady drumming rhythm","dance rhythm, medium tempo, groovy rhythm",folk music,"melancholic, emotional, romantic","keyboard harmony, female singer, steady drumming rhythm",3,1,3,3,10
"The song is instrumental music. The tempo is medium tempo with a piano bass note playing rhythmically, along with piano accompaniment, a violin playing a high pitched drone along with pizzicato violins. The song is tense and includes ambient Street noises like birds chirping and cups rattling. The song is a movie soundtrack for a specific scene.","medium tempo, movie soundtrack, passionate, emotional, piano accompaniment",medium tempo,movie soundtrack,"passionate, emotional",piano accompaniment,1,1,2,1,5
"The low quality recording features a hip hop song that consists of a flat male vocal, alongside some background male vocals, rapping over punchy kick and snare hits, shimmering hi hats, funky electric guitar, brass melody, groovy synth keys melody and groovy bass. It sounds energetic, groovy and exciting.","groovy, hip hop, exciting, energetic, groovy bass, punchy kick, flat male vocal, punchy snare",groovy,hip hop,"exciting, energetic","groovy bass, punchy kick, flat male vocal, punchy snare",1,1,2,4,8
This is an r&b/hip-hop music piece. There is a male vocal rapping and a female vocal singing in a rap-like manner. The beat consists of a piano playing the chords of the tune with an electronic drum backing. The atmosphere of the piece is playful and energetic. This piece could be used in the soundtrack of a high school drama movie/TV show. It could also be played at birthday parties or beach parties.,"r&b, danceable, rapping, playful, energetic, piano, male vocal, electronic drums, female vocal",,"r&b, danceable, rapping","playful, energetic","piano, male vocal, electronic drums, female vocal",1,3,2,4,9
A drone sound is playing in the lower to mid range as an intro before the song starts with a high pitched bell sound with a very long release time and acoustic drums that sounds like playing behind a closed door. This song may be playing in a club.,"uptempo, rock, acoustic drums",uptempo,rock,,acoustic drums,1,1,1,1,3
"This slow song features a male voice singing the main melody at a comfortable pitch. The tone of the voice is emotional. This is accompanied by a bass playing the root notes of the chords. After one line, a synth swell is played. A piano plays the backing chords. The mood of this song is sad. This song can be played in a sad scene in a movie.","slow tempo, pop song, no percussion, piano, bass",slow tempo,pop song,,"no percussion, piano, bass",1,1,1,3,5
"A male vocalist sings this passionate metal song. The tempo is medium fast with keyboard accompaniment, steady drumming and bass lines, electric guitar , sound of siren and vocal backup. The lead vocals are loud, passionate , volatile, hysterical ,disturbed,emphatic,sad, emotional, painful, disappointed and hurt. This song is Heavy/Goth Metal.","medium fast tempo, metal, passionate, intense, aggressive, heavy metal, steady drumming, keyboard accompaniment, male vocalist",medium fast tempo,metal,"passionate, intense, aggressive, heavy metal","steady drumming, keyboard accompaniment, male vocalist",1,1,4,3,9
"A male vocalist sings this spirited song. The tempo is fast with electronic instrumentation, synthesiser articulation and turn table. The song is spirited,youthful , enthusiastic, energetic, vigorous and vital. This song is an EDM/ Synth Pop song.","fast tempo, dance groove, electro pop, ambient, dance music, electronic music, male singer","fast tempo, dance groove","electro pop, ambient, dance music, electronic music",,male singer,2,4,1,1,7
This song contains acoustic drums playing a kick on every half-beat along with an e-bass playing a repeating bassline along with an e-guitar. Another e-guitar is playing long notes with a lot of reverb in a higher register. Another guitar is playing a counter melody in an even higher key. A male voice is singing in a higher key while being backed by another male voice singing a harmony in an even higher key. This song may be playing live at a festival.,"uptempo, rock, acoustic drums, male voice singing, e-bass",uptempo,rock,,"acoustic drums, male voice singing, e-bass",1,1,1,3,5
"A male vocalist sings this enthusiastic song in a foreign language. The tempo is fast with infectious drumming and an animated button accordion melody. The song is a fusion of hip-hop with folk music making it unique,unconventional and experimental. It is youthful, buoyant, catchy, engaging and funky with electronic beats. This song is a fusion of Hip-Hop.","upbeat, fast tempo, folk music, funky, energetic, male vocalist","upbeat, fast tempo",folk music,"funky, energetic",male vocalist,2,1,2,1,6
"An acoustic drum is playing a straight groove while an e-bass is playing a bassline that reminds of reggae. This feeling gets enhanced by a e-guitar strumming a short rhythmic chord on the offbeat giving the song its typical reggae vibe. On top of that, someone is playing a melody on a steeldrums. This song may be playing at beachbar.","slow to medium tempo, reggae, acoustic drums, e-guitar, e-bass",slow to medium tempo,reggae,,"acoustic drums, e-guitar, e-bass",1,1,1,3,5
"A male vocalist sings this mellow song.he tempo is medium with jazz style piano accompaniment, synthesiser articulation, slick drumming, funky bass line, cajun beat and an interactive vocal harmony. The music is mellow, soothing, ambient, soulful, passionate, emotional and persuasive. This song is a contemporary R&B/Soul.","medium tempo, soul, ambient, r&b, pop, sentimental, passionate, soft, romantic, groovy bass, male singer",medium tempo,"soul, ambient, r&b, pop","sentimental, passionate, soft, romantic","groovy bass, male singer",1,4,4,2,11
"The low quality recording features a cover of a pop song sung by passionate female vocalists over acoustic guitar melody and acoustic rhythm guitar chords. It sounds emotional, passionate and the recording is noisy and in mono.","acoustic rhythm guitar chords, pop, passionate, emotional, passionate female vocal",acoustic rhythm guitar chords,pop,"passionate, emotional",passionate female vocal,1,1,2,1,5
"A male vocalist sings this soft melody. The tempo is slow with soft , ambient piano /keyboard accompaniment. The song is mellow,melodic, romantic, soothing, emotional, idyllic, charming and dreamy. There is a female vocal at the onset of this clip indicating that this could be a duet.","slow tempo, ambient, mellow, emotional, gentle, keyboard harmony, male singer, piano accompaniment",slow tempo,ambient,"mellow, emotional, gentle","keyboard harmony, male singer, piano accompaniment",1,1,3,3,8
"A male vocalist sings this catchy song. The tempo is fast with synthesiser arrangement, punchy digital drum beats, groovy bass line and melodic vocal backup. The music has a repetitive, catchy vocal riff. It is youthful, punchy, bouncy, thumping, pulsating, and throbbing with soulful vocals and a dance groove. This music is Deep House/Techno pop.","fast tempo, groovy bass lines, dance pop, psychedelic, digital drums, male singer","fast tempo, groovy bass lines",dance pop,psychedelic,"digital drums, male singer",2,1,1,2,6
"A male vocalist sings this animated song in a foreign language. The tempo is fast with a bright applied violin accompaniment, lively drumming, groovy bass line, tambourine beats, rhythmic mandolin and acoustic guitar accompany net. The song is lively, energetic, vibrant, happy, vivacious and merry with a dance groove. This song is a Folk Pop/Regional Pop.","fast tempo, folk music, folk song, dance music, pop, happy, energetic, male singer, acoustic guitar, groovy bass line",fast tempo,"folk music, folk song, dance music, pop","happy, energetic","male singer, acoustic guitar, groovy bass line",1,4,2,3,10
"The low quality recording features a metal song that consists male vocals with a wide echoing effect on, wide filter modulated electric guitar chords, noisy snare hits, punchy kick and pulsating synth riser that appears towards the end of the loop. It sounds exciting, as it prepares the listener for an energetic drop.","metal, exciting, energetic, punchy kick",,metal,"exciting, energetic",punchy kick,1,1,2,1,4
"This song is an instrumental. The tempo is medium fast with enthusiastic drumming, congas and canon rhythm,electronic guitar harmony, keyboard accompaniment and a wind instrument playing a melodious harmony. There is the sound of chattering in the background. The audio is of inferior quality and muddled. The song is energetic, spirited and melodic with a catchy dance groove.","dance music, keyboard accompaniment, drums",,dance music,,"keyboard accompaniment, drums",1,1,1,2,3
The drums are playing a steady rock groove with a half open hi hat constantly ringing through the song. The e-guitar is panned to the left and right side of the speakers or two e-guitars are shredding the same distorted chords along with the bass silently playing in the background. The female voice is singing in a higher pitch and is accompanied by a female backing voice singing a deeper harmony. This sounds like a typical high school rock song. This song may be played chilling in your room sitting on the bed daydreaming.,"uptempo, rock, acoustic drums, e-guitar, e-bass",uptempo,rock,,"acoustic drums, e-guitar, e-bass",1,1,1,3,5
"The low quality recording features a folk song that consists of flat male vocals, alongside harmonizing female vocals, singing over groovy bass, strings melody, shimmering hi hats, and ""4 on the floor"" kick pattern. It sounds energetic, happy and fun.","folk, happy, energetic, fun, groovy bass, flat male vocal",,folk,"happy, energetic, fun","groovy bass, flat male vocal",1,1,3,2,6
"The low quality recording features a drums solo at the very beginning of the loop, after which a pop song starts playing and it consists of a passionate female vocal singing over buzzy synth lead melody. The drums solo contains snare roll and shimmering cymbals. Overall it sounds exciting.","pop, exciting, shimmering cymbals, passionate female vocal",,pop,exciting,"shimmering cymbals, passionate female vocal",1,1,1,2,4
"The Soul song features a passionate male vocal singing over a shimmering crash cymbal, sustained strings melody and mellow arpeggiated piano melody. At the very beginning there are some sizzling bells. It sounds romantic and heartfelt - like something you would want to sing to your partner.","soul, romantic, passionate male vocal",,soul,romantic,passionate male vocal,1,1,1,1,3
"A male vocalist sings this peppy pop.The tempo is fast with synthesiser articulation, groovy bass lines, bright digital drumming , keyboard harmony and electronic arrangements. The song is spirited, enthusiastic, energetic, lively, vibrant and youthful with a dance groove. The song is an Electro Pop/Synth Pop.","fast tempo, groovy, dance music, electronic music, energetic, groovy bass, male singer, keyboard harmony","fast tempo, groovy","dance music, electronic music",energetic,"groovy bass, male singer, keyboard harmony",2,2,1,3,8
This is a ska punk music piece. There is a male vocalist with a raspy voice singing in the Spanish language. The keyboard and the electric guitar are playing the melody while there is a bass guitar playing in the background. The rhythm consists of fast tempo acoustic drum beats. The atmosphere is lively. This piece can be played at sports venues.,"upbeat, danceable, electric guitar, keyboard, bass guitar, male vocal, acoustic drums",upbeat,danceable,,"electric guitar, keyboard, bass guitar, male vocal, acoustic drums",1,1,1,5,7
"A female singer sang this pop melody with female backup singers in vocal harmony. The song is fast tempo with various percussion instruments, but with a steady drumming rhythm, percussive bass line, guitar rhythm and keyboard accompaniment . The song is youthful and a  party dance song. The song's audio quality is poor.","fast tempo, groovy drumming rhythm, pop song, energetic, romantic, female singer","fast tempo, groovy drumming rhythm",pop song,"energetic, romantic",female singer,2,1,2,1,6
"The low quality recording features a passionate male vocal, alongside passionate female vocal in the left channel of the stereo image, singing over shimmering hi hats, which are also in the left channel, widely spread funky electric guitar chords, synth keys melody in the right channel, groovy bass, wooden percussions and mellow rimshots. It sounds happy, joyful, easygoing and chill.","reggae, chill, happy, joyful, groovy bass, passionate male vocal",,"reggae, chill","happy, joyful","groovy bass, passionate male vocal",1,2,2,2,6
"This is a Bali folk music piece. The instruments that are used are mostly percussive in nature traditional to the music of Bali such as gamelan, kendang and gong. There is a hypnotic atmosphere in this piece. It could be used in dream/hypnosis sequences in the soundtracks of movies and TV shows.","folk music, hypnotic, no singer",,folk music,hypnotic,no singer,1,1,1,1,3
"The low quality recording features a R&B song playing on a speaker, judging by the reverberant and boomy sound of it. The song consists of passionate male vocal singing over shimmering hi hats, claps, groovy bass and ""4 on the floor"" kick pattern, It sounds passionate, like something you would dance to with your partner.","r&b, passionate, groovy bass, claps, passionate male vocal",,r&b,passionate,"groovy bass, claps, passionate male vocal",1,1,1,3,5
This song contains digital drums playing a kick on every beat together with a digital synth bass playing a simple almost monotone bassline. A male voice is singing in a deeper key. This song is running through some filters opening up and with a lot of reverb. This song may be playing while having a car ride.,"uptempo, techno, digital drums, male voice singing",uptempo,techno,,"digital drums, male voice singing",1,1,1,2,4
An acoustic piano is playing a melody along with a flute-sound and an acoustic guitar picking two notes repeatedly. Then the song breaks softly into a new part as the acoustic guitar and piano are fading out. In the background you can hear some insects chirping. Now an electric piano sound is playing a melody along with a male voice singing. His voice sounds sensitive.  This song may be playing for a movie scene.,"medium to uptempo, pop, acoustic guitar, male voice singing, flute",medium to uptempo,pop,,"acoustic guitar, male voice singing, flute",1,1,1,3,5
This is the live recording of a dubstep performance. The DJ is performing the beat on a MIDI control panel. There is an ever-changing synth sound that plays the melody and also provides the strong and fuzzy bass. The rhythmic background consists of an aggressive electronic drum sound. The atmosphere is loud and energetic. This piece could be played at rave parties and at nightclubs.,"techno, energetic, aggressive, electronic drums",,techno,"energetic, aggressive",electronic drums,1,1,2,1,4
This audio contains a big wind sound before an acoustic drum starts playing a pattern on the toms with an opening and closing hihat. Then a male voice starts speaking at a higher pitch. Other male voices seem to respond to him. This song may be playing in the background for a movie skit.,"medium tempo, cinematic, acoustic drums",medium tempo,cinematic,,acoustic drums,1,1,1,1,3
This is a box opening video. There is a male voice speaking and kids shouting. A rock music piece starts playing with a common sounding electric guitar tune and a simple acoustic drum beat. The atmosphere is generic.,"rock music, acoustic drums, electric guitar",,rock music,,"acoustic drums, electric guitar",1,1,1,2,3
This is a modern sounding Afrobeat music piece. There is a male vocal singing the same line repeatedly vocal with a male back vocal ad-libbing in the background. The electric guitar is playing a mellow tune. A low-to-medium range bass line that can be heard. The rhythm consists of an acoustic drum beat with supporting percussive elements. Brass stabs can be heard every now and then. The atmosphere is groovy. This piece could be played at African nightclubs or dance clubs.,"afrobeat, groovy, danceable, energetic, electric guitar, bass guitar, male vocal, percussion, acoustic drums","afrobeat, groovy",danceable,energetic,"electric guitar, bass guitar, male vocal, percussion, acoustic drums",2,1,1,5,9
"This is a recording of two flamenco guitarists playing a captivating latin american rhythm. It's upbeat and suitable for dancing. The one guitarist strums chords in the percussive flamenco style, while the other guitarist plays flamenco lead with arpeggios and licks. The performance is live and outside. There is reverb applied to the lead guitar. Both are playing on  nylon strings.","upbeat, dance, energetic, acoustic guitar",upbeat,dance,energetic,acoustic guitar,1,1,1,1,4
"This music is an electric guitar instrumental. The tempo is fast with an enthusiastic electric guitar riff with the voice of a man giving instructions. The music is powerful,emphatic, loud, groovy, youthful, skillful and engaging. This clip is an electric guitar lesson/tutorial.","fast tempo, blues, rock, metal, jazz, passionate, intense, electric guitar",fast tempo,"blues, rock, metal, jazz","passionate, intense",electric guitar,1,4,2,1,8
"This song is an electric guitar instrumental. The tempo is medium with two amplified guitars playing the lead and harmony respectively with steady drumming. The music is a simple, rhythmic, smooth and engaging Rock instrumental;","medium tempo, rock, steady drumming, electric guitar",medium tempo,rock,,"steady drumming, electric guitar",1,1,1,2,4
"This is a Haiti dance music piece. There is a male vocalist singing melodically in the Creole language. The brass, the keyboard and the bass guitar are the melodic elements of this piece. In the rhythmic background, the acoustic drums and percussive elements are playing a latin type beat. The atmosphere of the piece is chill and easygoing. This piece could be played at Caribbean bars and dance clubs. It could also be used as an accompaniment piece for dancing courses.","dance, chill, keyboard, bass guitar, male vocal, percussion, acoustic drums",,"dance, chill",,"keyboard, bass guitar, male vocal, percussion, acoustic drums",1,2,1,5,7
"This is a big band jazz music piece. It is an instrumental piece. The main melody is played by a wide variety of the winds section composed of the saxophone, the trumpet, the flute and the clarinet. The piano and the upright bass provide backing structures. The rhythmic background consists of a jazz acoustic drum beat. The atmosphere is playful. This piece could fit perfectly in the soundtrack of a Disney-type animation movie.","upbeat, jazz, playful, acoustic drums, piano, flute",upbeat,jazz,playful,"acoustic drums, piano, flute",1,1,1,3,6
"The Soul song features a passionate male vocal singing over shimmering hi hats and shakers, groovy bass, widely spread wooden percussions, punchy kick and snare hits, wide sustained strings melody and mellow piano melody. It sounds emotional and passionate.","soul, passionate, emotional, groovy bass, punchy kick, passionate male vocal, punchy snare",,soul,"passionate, emotional","groovy bass, punchy kick, passionate male vocal, punchy snare",1,1,2,4,7
"A male vocalist sings this  melodic song. The tempo is medium with muffled vocals, violin harmony, rhythmic guitar , steady drumming and straight bass lines. The language and lyrics of the song are inaudible because of the amateur recording.This song is a Classic Rock and Roll.","slow tempo, pop, emotional, steady drumming, male singer",slow tempo,pop,emotional,"steady drumming, male singer",1,1,1,2,5
"The low quality recording features a country song that consists of a passionate male vocal singing over arpeggiated acoustic guitar melody, acoustic rhythm guitar chords, mandoline guitar melody and groovy bass. It sounds passionate, joyful and emotional.","acoustic rhythm guitar chords, country, passionate, emotional, joyful, groovy bass",acoustic rhythm guitar chords,country,"passionate, emotional, joyful",groovy bass,1,1,3,1,6
"This music is instrumental. The tempo is fast with a groovy drumming rhythm with bass drums, snares, cymbals and a Cowbell. The rhythm is upbeat, catchy, punchy and buoyant. This music is a Drumming lesson/ tutorial.","upbeat, fast tempo, rhythmic beat, rock music, percussion","upbeat, fast tempo, rhythmic beat",rock music,,percussion,3,1,1,1,5
"This is an electronic music jam using a drum machine. The touchpads on the drum machine are used to perform chopped-up melodic pad sounds by tapping on them. Since this is an amateur recording, the finger tapping sounds can be heard as well. This piece could be used to lift low-resolution samples from to use in beat-making.","electronic, electronic drums",,electronic,,electronic drums,1,1,1,1,2
"A male singer sings this high energy EDM. The tempo fast with the song starts with a slow female vocalisation, soft piano accompaniment and takes off to an upbeat groove. The song is groovy, youthful, buoyant, vivacious;punchy and vibrant with atmospheric synthesiser, hard hitting drumming, funky bass line, spirited electric guitar harmony along with enthusiastic vocals. The vocals are auto tuned and the use of heavy electronic instrumentation make it an ultimate EDM.","electronic music, piano accompaniment, male singer",,electronic music,,"piano accompaniment, male singer",1,1,1,2,3
"The low quality recording features a live performance of a pop song that consists of harmonizing male vocals singing over punchy kick and snare, shimmering hi hats, groovy bass, brass melody and electric guitar melody. There are some crowd clapping and cheering sounds in the background. It sounds energetic, exciting and groovy.","groovy, pop, exciting, energetic, groovy bass, punchy kick, punchy snare",groovy,pop,"exciting, energetic","groovy bass, punchy kick, punchy snare",1,1,2,3,7
"The cover of a rock song consists of soft male vocal singing over shimmering cymbals, punchy snare and kick hits, groovy bass guitar, addictive synth keys melody and electric guitar melody. It sounds energetic, but yet mellow and addictive - thanks to that cadence.","rock, mellow, energetic, shimmering cymbals, punchy kick, punchy snare",,rock,"mellow, energetic","shimmering cymbals, punchy kick, punchy snare",1,1,2,3,6
"This song features a female voice singing the main melody. This song has a Middle-Eastern feel. The voice is accompanied by percussion playing a dance beat. A synth plays a high pitched melody in between lines. A synth pad plays chords in the background. The bass plays the root notes of the chords. Toward the end, all instruments except the synth pads pause. The voice continues to sing at this time. An autotune effect is used on the voice. This song can be played in a club.","moderate tempo, dance song, female voice, bass",moderate tempo,dance song,,"female voice, bass",1,1,1,2,4
This audio contains a drum playing with a lot of toms. A distorted e-guitar is playing a solo melody. In the background panned to the right side of the speakers you can hear a keyboard playing minor chords in the higher mid-range. This song may be playing while sitting in your room dancing for yourself.,"uptempo, rock, acoustic drums, e-guitar",uptempo,rock,,"acoustic drums, e-guitar",1,1,1,2,4
"This is an R&B/soul music piece. There is a whole mix of male and female vocals singing melodically. The tune is being performed by the keyboard while the electric guitar and the bass guitar are playing in the background. There is a slow tempo electronic drum beat in the rhythmic background. The atmosphere is emotional. This piece could be used in the soundtrack of a romance movie, especially during the scenes of resolution.","slow tempo, soul, r&b, emotional, dreamy, keyboard, bass guitar, electric guitar, electronic drums",slow tempo,"soul, r&b","emotional, dreamy","keyboard, bass guitar, electric guitar, electronic drums",1,2,2,4,9
"The low quality recording features a reggae song that consists of passionate male vocals singing over shimmering hi hats, snappy snare, punchy kick, groovy bass, brass melody and funky electric guitar chords. It sounds chill and easygoing.","reggae, chill, groovy bass, punchy kick",,"reggae, chill",,"groovy bass, punchy kick",1,2,1,2,4
"A male vocalist sings this spirited song. The song is medium tempo with energetic electric guitar lead, enthusiastic electric bass guitar , hard hitting drums and keyboard harmony. The vocals are passionate, youthful,energetic, vociferous, powerful and loud . This song is Hard Rock/Metal.","fast tempo, metal, passionate, intense, hard rock, male vocalist",fast tempo,metal,"passionate, intense, hard rock",male vocalist,1,1,3,1,6
"This music is instrumental. The tempo is medium with an electric guitar riff and the voice of a man giving instructions on electric guitar techniques. The music is loud, clear, amplified, vivid, emphatic and powerful. This is a tutorial/ lesson on electric guitar techniques.","medium tempo, rock, metal, pop, intense, hard rock, heavy metal, electric guitar",medium tempo,"rock, metal, pop","intense, hard rock, heavy metal",electric guitar,1,3,3,1,8
"A male vocalist sings this high energy Country Song. The tempo is fast with animated Banjo, fiddle, auto harp, acoustic guitar and cello. The song is cheerful, happy, enthusiastic, fervent, pulsating, buoyant and animated with vocalising and backup. This song is a spirited Country Folk Song.","fast tempo, country music, cheerful, fun, male vocalist, acoustic guitar, cello",fast tempo,country music,"cheerful, fun","male vocalist, acoustic guitar, cello",1,1,2,3,7
This folk song features the lead melody played on a rebab instrument which sounds like violins. This song has a Middle-Eastern melody. This is accompanied by traditional Middle-Eastern percussion. A tambourine is played in the background. The other instruments are not clear due to the low quality of the audio. There are no voices in this song. This is an instrumental song. This song can be played at a village scene in a movie.,"folk song, tambourine, no voices",,folk song,,"tambourine, no voices",1,1,1,2,3
This song has a catchy synthesizer bassline that is repeating. The electronic drums are playing a four on the floor techno groove with some tambourines and some processed crash sounds. The elements are gently panned to the left and right side of the speakers. The male voice is rapping over the instrumental while a low pitched vocal sample melody is singing a melody and some pieces of that are also panned to the left and right side of the speakers along with some reverb and light delay. This song may be playing in a club or a beach party.,"uptempo, dance, electronic drums",uptempo,dance,,electronic drums,1,1,1,1,3
"The Hip Hop song features a flat male vocal rapping over reverberant snaps, reverberant addictive plucked synth melody, smooth sub bass, punchy kick, low toms roll and a riser. It sounds smooth, groovy and easygoing - like something you would listen to in a car.","groovy, hip hop, flat male vocal, punchy kick",groovy,hip hop,,"flat male vocal, punchy kick",1,1,1,2,4
"A full orchestra is playing a slow dramatic, emotional and soft composition. In the background whispering can be heard. This is an amateur recording. This song may be playing at a theater dancing ballet.","slow tempo, classical music, dramatic, orchestra",slow tempo,classical music,dramatic,orchestra,1,1,1,1,4
"The low quality recording features a cover of a R&B song that contains passionate female vocals, alongside background harmonizing female vocals, singing over punchy kick, claps, groovy bass, smooth keys and short strings chords. It sounds romantic, emotional and groovy.","groovy, r&b, emotional, romantic, groovy bass, claps, punchy kick, passionate female vocal",groovy,r&b,"emotional, romantic","groovy bass, claps, punchy kick, passionate female vocal",1,1,2,4,8
"A female singer sings this iconic pop cover. The song is slow tempo with a piano accompaniment, strong drum hit and low pitched keyboard harmony. The song is tense and mysterious. The song is a modern pop cover and has poor audio quality with hissing and buzzing tones.","slow tempo, pop song, movie soundtrack, passionate, emotional, inspiring, keyboard accompaniment, female singer",slow tempo,"pop song, movie soundtrack","passionate, emotional, inspiring","keyboard accompaniment, female singer",1,2,3,2,8
"This is a pop/disco music piece. There is a male vocalist singing melodically in the lead while the main tune is being played by the saxophone. In the rhythmic background, there is an electronic drum beat with percussive elements surrounding it. The atmosphere is energetic and danceable. This piece could be playing in the background at a dance club during a retro-themed night.","upbeat, danceable, energetic, male vocal, percussion, electronic drums",upbeat,danceable,energetic,"male vocal, percussion, electronic drums",1,1,1,3,6
"A male singer raises this passionate melody. The song is medium tempo with an acoustic guitar accompaniment, groovy bass line and a subtle drumming rhythm. The song is passionate and relaxing. The song is played live and has poor audio quality.","medium tempo, folk music, emotional, energetic, male singer, groovy bass line",medium tempo,folk music,"emotional, energetic","male singer, groovy bass line",1,1,2,2,6
This is an R&B/disco funk music piece. There are multiple layers of a female vocalist singing melodically. The melody is being played by the electric guitar while the bass guitar is playing a groovy bass line. There is a funky acoustic drum beat in the background. The atmosphere is hip and the piece is very danceable. The piece could be playing for a 70s night at a dance club.,"groovy, r&b, danceable, acoustic drums, bass guitar, electric guitar, female vocal",groovy,"r&b, danceable",,"acoustic drums, bass guitar, electric guitar, female vocal",1,2,1,4,7
"The low quality recording features a rock song that consists of a melancholic male vocal singing over punchy kick and snare hits, shimmering ride cymbals, groovy bass guitar and acoustic rhythm guitar. It sounds emotional and heartfelt.","rock, emotional, punchy kick, punchy snare",,rock,emotional,"punchy kick, punchy snare",1,1,1,2,4
"This is a salsa song with an upbeat and vibrant energy. It contains typical salsa instruments like the conga, the trumpet, and the piano. The percussion is upbeat and involves bongos and congas, and the singer is lively.","upbeat, dance, fun, piano",upbeat,dance,fun,piano,1,1,1,1,4
"This music is a live instrumental.The music is medium tempo with a dominant piano accompaniment, keyboard harmony, bright drumming, funky bass line, congas rhythm and tambourine beats. The music is a live performance as there are ambient background sounds of people talking and laughing.","medium tempo, blues, reggae, keyboard harmony, electric guitar, steady drumming, tambourine",medium tempo,"blues, reggae",,"keyboard harmony, electric guitar, steady drumming, tambourine",1,2,1,4,7
This is a DJ performance. The background track has a male singing upfront with a mellow guitar tune and groovy latin drums with Caribbean influences overall. The DJ plays a male vocal sample and sound effects over this track. The atmosphere is danceable. It is a low-resolution recording.,"dance, guitar",,dance,,guitar,1,1,1,1,2
This is a rock music piece with a leading male vocal. The electric guitar is playing the main melody while a simple rock beat is being played by the acoustic drums as the rhythmic background. It has the definitive qualities of 70s American rock music. It could be used in a movie taking place in the 70s. It could also be played at a rock bar or a sports bar in the background.,"rock music, acoustic drums, electric guitar",,rock music,,"acoustic drums, electric guitar",1,1,1,2,3
This is a Latin salsa dance music piece. There are male vocals singing loudly in the Spanish language. There is a groovy bass line. The rhythmic background is provided by the cowbell strokes. The atmosphere is lively. This piece could be used as an accompaniment piece for a Latin dance course.,"latin dance music, bass guitar",,latin dance music,,bass guitar,1,1,1,1,2
"This is a music production tutorial video. There is a male voice teaching a sound design technique. There is an electronic snare drum beat speeding up with a shifting pitch. A simple synth tune is playing in the background. The sounds used in the video are very common, so it would not be worth the hassle to sample these sounds. Instead, parts of the track could be used in advertisement jingles.","electronic music, male voice, electronic drums",,electronic music,,"male voice, electronic drums",1,1,1,2,3
